DEB (Debrecen)
BTS (Pozsony)
VIE (Bécs)
SZG (Salzburg)
LJU (Ljublana)
ZAG (Zágráb)
SPU (Szplit)
SJJ (Szarajevó)
BEG (Belgrád)
TGD (Podgorica)
SKP (Szkopje)
TIA (Tirana)
CLJ (Kolozsvár)
TSR (Temesvár)
GHV (Brassó)
TGM (Marosvásárhely)
RMO (Kisjenő)
SOF (Szófia)
BOJ (Burgas)
SKG (Tesszaloniki)
ATH (Athén)
ZTH (Zakintosz)
CFU (Korfu)
RHO (Rodosz)
HER (Heraklion)
LCA (Larnaka)
IST (Isztambul)
ANK (Ankara)
AYT (Antália)
KUT (Kutaiszi)
GYD (Baku)
EVN (Yereván)
TLV (Tel-Aviv)
AMM (Amman)
RUh (Rijád)
JED (Jedda)
HRG (Hurgada)
SPX (Kairó)
DXB (Dubai)
AUH (Abu Dhabi)
THR (Teherán)
MLA (Málta)
PMO (palermo)
CTA (Katánia)
NAP (Nápoly)
Cag (Cagliari)
AHO (Alghero)
AJA (Ajacco)
BRI (Bari)
FCO (Róma)
PSA (Pisa)
FLR (Firenze)
BLQ (Bolonya)
GOA (Genova)
TRn (Torinó)
MXP (Milánó)
VCE (Velence)
TRS (Trieszt)
BRQ (Brünn)
PRG (Prága)
MUC (München)
FMM (Memmingen)
STR (Stuttgart)
BER (Berlin)
FRA (Frankfurt)
DTM (Dortmund)
CGN (Köln)
DRS (Drezda)
BRE (Bremen)
HAJ (Hannover)
HAM (Hamburg)
CPH (Koppenhága)
ARL (Stockholm)
OSL (Oszló)
HEl (Helzinki)
WAW (Varsó)
GDO (Gdansk)
WRO (Wroszlav)
KRK (Krakkó)
VNO (Vilniusz)
TLL (Tallin)
RIX (Riga)
TAS (Tashkent)
TUN (Tunisz)
ALG (Algír)
RAK (Marrakes)
NBO (Nairobi)
CPT (Cape Town)
PRY (Pretoria)
LOS (Lagosz)
GVA (Genf)
ZRH (Zürich)
BSL (Basel)
LUX (Luxemburg)
BRU (Brüsszel)
EIN (Eindhoven)
AMS (Amszterdam)
DUB (Dublin)
LGW (Gatwick)
LTN (Luton)
GLA (Glasgow)
BHX (Birhmingan)
LBA (Leeds)
LPL (Liverpool)
MAN (Manchaster)
CWL (Cardiff)
NCL (Newcastle)
EDI (Edinburgh)
BHD (Belfast)
KEF (Reykjavik)
CDG (Párizs)
LYN (Lyon)
MRS (Marseille)
NCE (Nizza)
BOD (Bordeaux)
MAD (Madrid)
BCN (Barcelona)
VLC (Valencia)
PMI (Palma de Mallorca)
BIO (Bilbao)
SVQ (Seville)
AGP (Malaga)
ALC (Alicante)
TFS (Tenerife)
LPA (Gran Canaria)
LIS (Liszabon)
OPO (Porto)
FNC (Funchal)
DEL (Delhi)
BOM (Mumbai)
DAC (Dhakar)
SIN (Szingapúr)
DMK (Bangkok)
SGN (Ho Chi Minh város)
HAN (Hanoi)
CGK (Jakarta)
MNL (Manila)
Per (Perth)
ADl (Adelaide)
MEL (Melbourne)
SYD (Sydney)
WLG (Wellington)
AKL (Auckland)
HKG (Hong Kong)
TPE (Taipei)
PKX (Peking)
NKG (Nanjing)
WUH (Wuhan)
CKG (Chongqing)
ICN (Szöul)
PUS (Buszan)
FUK (Fukuoka)
KIX (Oszaka)
NGO (Nagoya)
HND (Tokyo)
YVR (Vancouver)
YWG (Winnipeg)
YYZ (Toronto)
YOW (Ottawa)
YUL (Montreal)
YQB (Quebec)
BOS (Boszton)
JFK (New York)
PHL (Philadelphia)
ATL (Atlanta)
ORD (Chicago)
DTW (Detroit)
MSY (New Orleans)
Mia (Miami)
HOU (Houston)
AUS (Austin)
DEN (Denver)
SEA (Seattle)
SFO (San Francisco)
LAX (Los Angeles)
HNL (Honolulu)
HAV (Havana)
MEX (Mexico City)
BOG (Bogotá)
UIO (Quito)
CCS (Caracas)
LIM (Lima)
SCL (Santiago)
MVD (Montevideo)
AEP (Buenos Aires)
COR (Cordoba)
CGH (Sao Paulo)
SDU (Rio de Janeiro)
BSB (Brasília)
BEL (Belém)
LPB (La Paz)

