DEB (Debrecen)
BTS (Bratislava)
VIE (Vienna)
SZG (Salzburg)
LJU (Ljublana)
ZAG (Zagrab)
SPU (Split)
CLJ (Cluj-Napoca)
TSR (Timisora)
GHV (Brasov)
TGM (Targu Mures)
SOF (Sofia)
BOJ (Burgas)
SKG (Thessaloniki)
ATH (Athens)
ZTH (Zakintos)
CFU (Korfu)
RHO (Rhodes)
HER (Heraklion)
MLA (Malta)
PMO (Palermo)
CTA (Catania)
NAP (Naples)
Cag (Cagliari)
AHO (Alghero)
AJA (Ajacco)
BRI (Bari)
FCO (Rome)
PSA (Pisa)
FLR (Florence)
BLQ (Bologne)
GOA (Genova)
TRn (Turin)
MXP (Milan)
VCE (Venice)
TRS (Triest)
BRQ (Brunn)
PRG (Prauge)
MUC (Munich)
FMM (Memmingen)
STR (Stuttgart)
BER (Berlin)
FRA (Frankfurt)
DTM (Dortmund)
CGN (Cologne)
DRS (Drezda)
BRE (Bremen)
HAJ (Hannover)
HAM (Hamburg)
CPH (Coppenhagen)
ARL (Stockholm)
OSL (Oslo)
HEl (Helsinki)
WAW (Warsaw)
GDO (Gdansk)
WRO (Wroszlav)
KRK (Krakow)
VNO (Vilnius)
TLL (Tallin)
RIX (Riga)
ZRH (Zurich)
BSL (Basel)
LUX (Luxemburg)
BRU (Brussels)
EIN (Eindhoven)
AMS (Amsterdam)
GVA (Geneva)
KEF (Reykjavik)
CDG (Paris)
LYN (Lyon)
MRS (Marseille)
NCE (Nice)
BOD (Bordeaux)
MAD (Madrid)
BCN (Barcelona)
VLC (Valencia)
PMI (Palma)
BIO (Bilbao)
SVQ (Seville)
AGP (Malaga)
ALC (Alicante)
TFS (Tenerife)
LPA (Gran Canaria)
LIS (Liszabon)
OPO (Porto)
FNC (Funchal)
